symbol,baseCoin,granularity,profile,lookback_days,bars,trades,win_rate_pct,profit_factor,max_drawdown_pct,net_return_pct,quality_score,last_close,trend_state,last_signal,last_bar_utc
AKTUSDT,AKT,4H,Base TV,365,441,4,75.0,7.2205,-6.0,40.8208,18.0512,0.4727,LONG,NONE,2026-03-13T00:00:00+00:00
ADAUSDT,ADA,4H,Base TV,365,441,4,75.0,4.6796,-5.6604,20.9903,12.4009,0.27,LONG,NONE,2026-03-13T00:00:00+00:00
AERGOUSDT,AERGO,4H,Base TV,365,441,2,100.0,inf,0.0,3.8463,10.0,0.05482,LONG,NONE,2026-03-13T00:00:00+00:00
1000RATSUSDT,1000RATS,4H,Base TV,365,441,2,100.0,inf,0.0,30.1498,10.0,0.05001,SHORT,NONE,2026-03-13T00:00:00+00:00
0GUSDT,0G,4H,Base TV,365,441,1,100.0,inf,0.0,14.0832,5.0,0.5888,SHORT,NONE,2026-03-13T00:00:00+00:00
AINUSDT,AIN,4H,Base TV,365,441,1,100.0,inf,0.0,1.905,5.0,0.05359,LONG,NONE,2026-03-13T00:00:00+00:00
AIXBTUSDT,AIXBT,4H,Base TV,365,441,1,100.0,inf,0.0,1.905,5.0,0.02793,LONG,NONE,2026-03-13T00:00:00+00:00
AEROUSDT,AERO,4H,Base TV,365,441,5,60.0,3.0883,-10.4619,22.0099,4.4279,0.3426,SHORT,NONE,2026-03-13T00:00:00+00:00
ALGOUSDT,ALGO,4H,Base TV,365,441,5,60.0,1.9924,-11.3208,10.851,2.6399,0.0909,LONG,NONE,2026-03-13T00:00:00+00:00
1000CATUSDT,1000CAT,4H,Base TV,365,441,5,60.0,1.9003,-11.3208,9.4608,2.5179,0.00185,LONG,NONE,2026-03-13T00:00:00+00:00
ACEUSDT,ACE,4H,Base TV,365,441,2,50.0,2.8686,-6.0,10.1788,2.3905,0.1483,LONG,NONE,2026-03-13T00:00:00+00:00
ACXUSDT,ACX,4H,Base TV,365,441,5,60.0,1.0459,-10.7705,-0.1993,1.4566,0.0492,LONG,NONE,2026-03-13T00:00:00+00:00
AIOUSDT,AIO,4H,Base TV,365,441,2,50.0,1.5953,-5.6604,2.8585,1.4092,0.08124,SHORT,NONE,2026-03-13T00:00:00+00:00
1000BONKUSDT,1000BONK,4H,Base TV,365,441,4,50.0,1.3979,-11.3208,3.4108,1.2348,0.006271,LONG,NONE,2026-03-13T00:00:00+00:00
1000XECUSDT,1000XEC,4H,Base TV,365,441,3,66.6667,0.6734,-6.0,-2.1639,1.1223,0.00706,LONG,NONE,2026-03-13T00:00:00+00:00
1MCHEEMSUSDT,1MCHEEMS,4H,Base TV,365,441,6,33.3333,1.1021,-11.3208,0.0461,0.9735,0.484,LONG,NONE,2026-03-13T00:00:00+00:00
1MBABYDOGEUSDT,1MBABYDOGE,4H,Base TV,365,441,5,40.0,1.1375,-16.3403,0.8831,0.6961,0.0004315,LONG,NONE,2026-03-13T00:00:00+00:00
AGLDUSDT,AGLD,4H,Base TV,365,441,2,50.0,0.3569,-5.6604,-3.7547,0.3153,0.2605,SHORT,NONE,2026-03-13T00:00:00+00:00
2ZUSDT,2Z,4H,Base TV,365,441,2,50.0,0.3366,-5.6604,-3.8632,0.2973,0.08073,LONG,NONE,2026-03-13T00:00:00+00:00
1000000MOGUSDT,1000000MOG,4H,Base TV,365,441,3,0.0,0.0,-15.2982,-15.2982,0.0,0.1621,SHORT,NONE,2026-03-13T00:00:00+00:00
1000SATSUSDT,1000SATS,4H,Base TV,365,441,4,0.0,0.0,-21.643,-21.643,0.0,1.257e-05,LONG,NONE,2026-03-13T00:00:00+00:00
1INCHUSDT,1INCH,4H,Base TV,365,441,2,0.0,0.0,-11.3208,-11.3208,0.0,0.0972,SHORT,NONE,2026-03-13T00:00:00+00:00
4USDT,4,4H,Base TV,365,441,1,0.0,0.0,-6.0,-6.0,0.0,0.00822,SHORT,NONE,2026-03-13T00:00:00+00:00
AEVOUSDT,AEVO,4H,Base TV,365,441,1,0.0,0.0,-1.3941,-1.3941,0.0,0.02603,LONG,NONE,2026-03-13T00:00:00+00:00
AIUSDT,AI,4H,Base TV,365,441,1,0.0,0.0,-5.6604,-5.6604,0.0,0.02281,LONG,NONE,2026-03-13T00:00:00+00:00
