symbol,baseCoin,granularity,profile,lookback_days,bars,trades,win_rate_pct,profit_factor,max_drawdown_pct,net_return_pct,quality_score,last_close,trend_state,last_signal,last_bar_utc
KERNELUSDT,KERNEL,4H,Base TV,365,441,1,100.0,inf,0.0,9.03,5.0,0.09822,LONG,NONE,2026-03-13T00:00:00+00:00
KITEUSDT,KITE,4H,Base TV,365,441,1,100.0,inf,0.0,5.46,5.0,0.24558,SHORT,NONE,2026-03-13T00:00:00+00:00
KMNOUSDT,KMNO,4H,Base TV,365,441,1,100.0,inf,0.0,9.9532,5.0,0.01976,SHORT,NONE,2026-03-13T00:00:00+00:00
LITUSDT,LIT,4H,Base TV,365,374,1,100.0,inf,0.0,1.905,5.0,1.169,LONG,NONE,2026-03-13T00:00:00+00:00
MEMEUSDT,MEME,4H,Base TV,365,441,1,100.0,inf,0.0,2.0201,5.0,0.0006144,LONG,NONE,2026-03-13T00:00:00+00:00
MEUSDT,ME,4H,Base TV,365,441,1,100.0,inf,0.0,17.2114,5.0,0.1142,SHORT,NONE,2026-03-13T00:00:00+00:00
MMTUSDT,MMT,4H,Base TV,365,441,1,100.0,inf,0.0,9.03,5.0,0.13,LONG,NONE,2026-03-13T00:00:00+00:00
MOCAUSDT,MOCA,4H,Base TV,365,441,1,100.0,inf,0.0,1.905,5.0,0.01444,SHORT,NONE,2026-03-13T00:00:00+00:00
MOVRUSDT,MOVR,4H,Base TV,365,441,1,100.0,inf,0.0,8.1976,5.0,1.268,SHORT,NONE,2026-03-13T00:00:00+00:00
MORPHOUSDT,MORPHO,4H,Base TV,365,441,1,100.0,inf,0.0,8.9606,5.0,1.9983,LONG,NONE,2026-03-13T00:00:00+00:00
COOKIEUSDT,COOKIE,4H,Base TV,365,441,1,100.0,inf,0.0,1.905,5.0,0.02017,SHORT,NONE,2026-03-13T00:00:00+00:00
NAORISUSDT,NAORIS,4H,Base TV,365,441,1,100.0,inf,0.0,14.0832,5.0,0.0593,LONG,NONE,2026-03-13T00:00:00+00:00
OGNUSDT,OGN,4H,Base TV,365,441,1,100.0,inf,0.0,6.0659,5.0,0.02618,LONG,NONE,2026-03-13T00:00:00+00:00
OGUSDT,OG,4H,Base TV,365,441,1,100.0,inf,0.0,14.0832,5.0,2.9484,LONG,NONE,2026-03-13T00:00:00+00:00
PHBUSDT,PHB,4H,Base TV,365,441,1,100.0,inf,0.0,7.902,5.0,0.1528,SHORT,NONE,2026-03-13T00:00:00+00:00
PORTALUSDT,PORTAL,4H,Base TV,365,441,1,100.0,inf,0.0,7.3309,5.0,0.01247,LONG,NONE,2026-03-13T00:00:00+00:00
QUSDT,Q,4H,Base TV,365,441,1,100.0,inf,0.0,14.0832,5.0,0.013369,SHORT,NONE,2026-03-13T00:00:00+00:00
RIVERUSDT,RIVER,4H,Base TV,365,441,1,100.0,inf,0.0,1.905,5.0,18.746,LONG,NONE,2026-03-13T00:00:00+00:00
REDUSDT,RED,4H,Base TV,365,441,1,100.0,inf,0.0,12.4345,5.0,0.1299,SHORT,NONE,2026-03-13T00:00:00+00:00
SIGNUSDT,SIGN,4H,Base TV,365,441,1,100.0,inf,0.0,2.0201,5.0,0.04683,SHORT,NONE,2026-03-13T00:00:00+00:00
SNTUSDT,SNT,4H,Base TV,365,441,1,100.0,inf,0.0,11.3238,5.0,0.00965,SHORT,NONE,2026-03-13T00:00:00+00:00
SNXUSDT,SNX,4H,Base TV,365,441,1,100.0,inf,0.0,10.3397,5.0,0.3156,LONG,NONE,2026-03-13T00:00:00+00:00
STBLUSDT,STBL,4H,Base TV,365,441,1,100.0,inf,0.0,1.905,5.0,0.03553,SHORT,NONE,2026-03-13T00:00:00+00:00
SYRUPUSDT,SYRUP,4H,Base TV,365,441,1,100.0,inf,0.0,1.905,5.0,0.2464,LONG,NONE,2026-03-13T00:00:00+00:00
SYNUSDT,SYN,4H,Base TV,365,441,1,100.0,inf,0.0,2.0201,5.0,0.04758,SHORT,NONE,2026-03-13T00:00:00+00:00
SYSUSDT,SYS,4H,Base TV,365,441,1,100.0,inf,0.0,14.7639,5.0,0.012,LONG,NONE,2026-03-13T00:00:00+00:00
TONUSDT,TON,4H,Base TV,365,441,1,100.0,inf,0.0,8.438,5.0,1.3121,LONG,NONE,2026-03-13T00:00:00+00:00
VIRTUALUSDT,VIRTUAL,4H,Base TV,365,441,1,100.0,inf,0.0,1.905,5.0,0.7375,LONG,NONE,2026-03-13T00:00:00+00:00
WAXPUSDT,WAXP,4H,Base TV,365,441,1,100.0,inf,0.0,10.9409,5.0,0.006357,LONG,NONE,2026-03-13T00:00:00+00:00
WCTUSDT,WCT,4H,Base TV,365,441,1,100.0,inf,0.0,17.2114,5.0,0.06053,LONG,NONE,2026-03-13T00:00:00+00:00
WLFIUSDT,WLFI,4H,Base TV,365,441,1,100.0,inf,0.0,2.0201,5.0,0.102,SHORT,NONE,2026-03-13T00:00:00+00:00
XAGUSDT,XAG,4H,Base TV,365,290,1,100.0,inf,0.0,6.4788,5.0,85.33,LONG,NONE,2026-03-13T00:00:00+00:00
XANUSDT,XAN,4H,Base TV,365,441,1,100.0,inf,0.0,1.0407,5.0,0.006699,LONG,NONE,2026-03-13T00:00:00+00:00
XPINUSDT,XPIN,4H,Base TV,365,441,1,100.0,inf,0.0,1.905,5.0,0.0015221,LONG,NONE,2026-03-13T00:00:00+00:00
XPTUSDT,XPT,4H,Base TV,365,152,1,100.0,inf,0.0,6.9838,5.0,2171.28,SHORT,NONE,2026-03-13T00:00:00+00:00
ZKJUSDT,ZKJ,4H,Base TV,365,441,1,100.0,inf,0.0,6.4513,5.0,0.02513,SHORT,NONE,2026-03-13T00:00:00+00:00
WAVESUSDT,WAVES,4H,Base TV,365,441,1,100.0,inf,0.0,6.0659,5.0,0.4599,SHORT,NONE,2026-03-13T00:00:00+00:00
GUSDT,G,4H,Base TV,365,441,3,66.6667,2.8214,-6.0,10.163,4.7023,0.003421,LONG,NONE,2026-03-13T00:00:00+00:00
AEROUSDT,AERO,4H,Base TV,365,441,5,60.0,3.0883,-10.4619,22.0099,4.4279,0.3431,SHORT,NONE,2026-03-13T00:00:00+00:00
ZECUSDT,ZEC,4H,Base TV,365,441,5,60.0,1.771,-6.0,7.7946,4.4275,213.26,LONG,NONE,2026-03-13T00:00:00+00:00
PENGUUSDT,PENGU,4H,Base TV,365,441,3,66.6667,2.4925,-5.6604,7.8687,4.4034,0.007381,LONG,NONE,2026-03-13T00:00:00+00:00
UAIUSDT,UAI,4H,Base TV,365,441,3,66.6667,2.5255,-6.0,8.7068,4.2092,0.34611,LONG,NONE,2026-03-13T00:00:00+00:00
INJUSDT,INJ,4H,Base TV,365,441,3,66.6667,2.0709,-5.6604,5.5833,3.6586,3.085,LONG,NONE,2026-03-13T00:00:00+00:00
BLASTUSDT,BLAST,4H,Base TV,365,441,3,66.6667,2.1519,-6.0,6.3435,3.5865,0.000491,SHORT,NONE,2026-03-13T00:00:00+00:00
MBOXUSDT,MBOX,4H,Base TV,365,441,4,50.0,2.0247,-5.6604,10.1575,3.577,0.01646,SHORT,NONE,2026-03-13T00:00:00+00:00
JUPUSDT,JUP,4H,Base TV,365,441,3,66.6667,1.9781,-6.0,5.3437,3.2968,0.166,SHORT,NONE,2026-03-13T00:00:00+00:00
SHIBUSDT,SHIB,4H,Base TV,365,441,2,50.0,2.9493,-4.7751,8.6356,2.9493,5.98e-06,LONG,NONE,2026-03-13T00:00:00+00:00
SKYAIUSDT,SKYAI,4H,Base TV,365,441,4,75.0,1.03,-5.6604,-0.0528,2.7295,0.04288,SHORT,NONE,2026-03-13T00:00:00+00:00
JTOUSDT,JTO,4H,Base TV,365,441,2,50.0,3.0407,-5.6604,10.5768,2.6859,0.2861,LONG,NONE,2026-03-13T00:00:00+00:00
VVVUSDT,VVV,4H,Base TV,365,441,2,50.0,3.0407,-5.6604,10.5768,2.6859,6.07,SHORT,NONE,2026-03-13T00:00:00+00:00
ALGOUSDT,ALGO,4H,Base TV,365,441,5,60.0,1.9924,-11.3208,10.851,2.6399,0.0913,LONG,NONE,2026-03-13T00:00:00+00:00
1000CATUSDT,1000CAT,4H,Base TV,365,441,5,60.0,1.9003,-11.3208,9.4608,2.5179,0.00185,LONG,NONE,2026-03-13T00:00:00+00:00
CELOUSDT,CELO,4H,Base TV,365,441,4,75.0,0.9909,-6.0,-0.3002,2.4773,0.0758,SHORT,NONE,2026-03-13T00:00:00+00:00
BNBUSDT,BNB,4H,Base TV,365,441,4,50.0,1.4804,-6.0,4.1505,2.4673,659.81,LONG,NONE,2026-03-13T00:00:00+00:00
ACEUSDT,ACE,4H,Base TV,365,441,2,50.0,2.8686,-6.0,10.1788,2.3905,0.1492,LONG,NONE,2026-03-13T00:00:00+00:00
FARTCOINUSDT,FARTCOIN,4H,Base TV,365,441,2,50.0,2.8686,-6.0,10.1788,2.3905,0.1609,SHORT,NONE,2026-03-13T00:00:00+00:00
XPLUSDT,XPL,4H,Base TV,365,441,2,50.0,2.8686,-6.0,10.1788,2.3905,0.1076,LONG,NONE,2026-03-13T00:00:00+00:00
GUNUSDT,GUN,4H,Base TV,365,441,3,66.6667,1.3477,-6.0,1.716,2.2462,0.01672,SHORT,NONE,2026-03-13T00:00:00+00:00
EGLDUSDT,EGLD,4H,Base TV,365,441,6,50.0,1.6887,-11.3208,10.4161,2.2375,4.19,SHORT,NONE,2026-03-13T00:00:00+00:00
OXTUSDT,OXT,4H,Base TV,365,441,2,50.0,2.5066,-5.6184,7.6735,2.2307,0.01907,LONG,NONE,2026-03-13T00:00:00+00:00
XDCUSDT,XDC,4H,Base TV,365,441,7,57.1429,1.3235,-11.9034,4.2288,2.2237,0.03278,SHORT,NONE,2026-03-13T00:00:00+00:00
ATHUSDT,ATH,4H,Base TV,365,441,2,50.0,2.488,-5.6604,7.6257,2.1977,0.005959,SHORT,NONE,2026-03-13T00:00:00+00:00
BASUSDT,BAS,4H,Base TV,365,441,2,50.0,2.488,-5.6604,7.6257,2.1977,0.008391,LONG,NONE,2026-03-13T00:00:00+00:00
MIRAUSDT,MIRA,4H,Base TV,365,441,2,50.0,2.488,-5.6604,7.6257,2.1977,0.0821,LONG,NONE,2026-03-13T00:00:00+00:00
POWERUSDT,POWER,4H,Base TV,365,441,2,50.0,2.488,-5.6604,7.6257,2.1977,0.12367,SHORT,NONE,2026-03-13T00:00:00+00:00
TOSHIUSDT,TOSHI,4H,Base TV,365,441,2,50.0,2.488,-5.6604,7.6257,2.1977,0.0002157,LONG,NONE,2026-03-13T00:00:00+00:00
PROVEUSDT,PROVE,4H,Base TV,365,441,2,50.0,2.4566,-5.6604,7.4578,2.17,0.2661,SHORT,NONE,2026-03-13T00:00:00+00:00
GMXUSDT,GMX,4H,Base TV,365,441,4,50.0,1.2714,-6.0,2.1934,2.119,6.408,SHORT,NONE,2026-03-13T00:00:00+00:00
DEGENUSDT,DEGEN,4H,Base TV,365,441,2,50.0,2.3472,-6.0,7.2382,1.956,0.000749,LONG,NONE,2026-03-13T00:00:00+00:00
IRYSUSDT,IRYS,4H,Base TV,365,441,2,50.0,2.3472,-6.0,7.2382,1.956,0.01786,LONG,NONE,2026-03-13T00:00:00+00:00
LUNCUSDT,LUNC,4H,Base TV,365,441,2,50.0,2.3472,-6.0,7.2382,1.956,4.174e-05,SHORT,NONE,2026-03-13T00:00:00+00:00
POLUSDT,POL,4H,Base TV,365,441,2,50.0,2.3472,-6.0,7.2382,1.956,0.0995,SHORT,NONE,2026-03-13T00:00:00+00:00
STEEMUSDT,STEEM,4H,Base TV,365,441,4,50.0,1.572,-9.7027,4.9454,1.6202,0.05964,SHORT,NONE,2026-03-13T00:00:00+00:00
SUSDT,S,4H,Base TV,365,441,3,66.6667,0.9167,-5.6604,-0.705,1.6195,0.04363,LONG,NONE,2026-03-13T00:00:00+00:00
SIRENUSDT,SIREN,4H,Base TV,365,441,5,60.0,1.2538,-11.64,2.1286,1.6157,0.56555,LONG,NONE,2026-03-13T00:00:00+00:00
XVSUSDT,XVS,4H,Base TV,365,441,3,66.6667,0.8586,-5.6604,-1.0222,1.5169,3.024,LONG,NONE,2026-03-13T00:00:00+00:00
LQTYUSDT,LQTY,4H,Base TV,365,441,2,50.0,1.5056,-1.2653,0.6156,1.5056,0.3009,LONG,NONE,2026-03-13T00:00:00+00:00
ZORAUSDT,ZORA,4H,Base TV,365,441,2,50.0,1.7672,-6.0,3.9671,1.4727,0.01757,LONG,NONE,2026-03-13T00:00:00+00:00
VETUSDT,VET,4H,Base TV,365,441,4,50.0,1.66,-11.3208,6.674,1.4663,0.007313,SHORT,NONE,2026-03-13T00:00:00+00:00
ACXUSDT,ACX,4H,Base TV,365,441,5,60.0,1.0459,-10.7705,-0.1993,1.4566,0.04915,LONG,NONE,2026-03-13T00:00:00+00:00
APRUSDT,APR,4H,Base TV,365,441,4,50.0,1.6394,-11.3208,5.9223,1.4481,0.11397,SHORT,NONE,2026-03-13T00:00:00+00:00
AIOUSDT,AIO,4H,Base TV,365,441,2,50.0,1.5953,-5.6604,2.8585,1.4092,0.08133,SHORT,NONE,2026-03-13T00:00:00+00:00
SUNUSDT,SUN,4H,Base TV,365,441,6,33.3333,1.0907,-7.8504,0.2345,1.3894,0.015998,LONG,NONE,2026-03-13T00:00:00+00:00
CAKEUSDT,CAKE,4H,Base TV,365,441,3,66.6667,0.8227,-6.0,-1.3161,1.3712,1.4035,LONG,NONE,2026-03-13T00:00:00+00:00
ROSEUSDT,ROSE,4H,Base TV,365,441,2,50.0,1.438,-5.6604,2.0185,1.2702,0.01273,LONG,NONE,2026-03-13T00:00:00+00:00
QNTUSDT,QNT,4H,Base TV,365,441,3,66.6667,0.7404,-6.0,-1.778,1.234,64.27,SHORT,NONE,2026-03-13T00:00:00+00:00
1000BONKUSDT,1000BONK,4H,Base TV,365,441,4,50.0,1.3867,-11.3208,3.2789,1.2249,0.006263,LONG,NONE,2026-03-13T00:00:00+00:00
BOMEUSDT,BOME,4H,Base TV,365,441,4,50.0,1.3712,-11.3208,3.0954,1.2112,0.0004594,LONG,NONE,2026-03-13T00:00:00+00:00
BTCUSDT,BTC,4H,Base TV,365,441,4,50.0,0.7715,-6.6265,-1.7618,1.1643,71556.1,LONG,NONE,2026-03-13T00:00:00+00:00
SUSHIUSDT,SUSHI,4H,Base TV,365,441,4,50.0,1.064,-9.3049,-0.1079,1.1435,0.211,LONG,NONE,2026-03-13T00:00:00+00:00
1000XECUSDT,1000XEC,4H,Base TV,365,441,3,66.6667,0.6734,-6.0,-2.1639,1.1223,0.00706,LONG,NONE,2026-03-13T00:00:00+00:00
KAIAUSDT,KAIA,4H,Base TV,365,441,5,40.0,1.1938,-11.1974,1.3089,1.0661,0.05491,LONG,NONE,2026-03-13T00:00:00+00:00
ATAUSDT,ATA,4H,Base TV,365,441,2,50.0,1.1654,-5.6604,0.5628,1.0294,0.01218,LONG,NONE,2026-03-13T00:00:00+00:00
1MCHEEMSUSDT,1MCHEEMS,4H,Base TV,365,441,6,33.3333,1.1021,-11.3208,0.0461,0.9735,0.484,LONG,NONE,2026-03-13T00:00:00+00:00
TAGUSDT,TAG,4H,Base TV,365,441,3,33.3333,1.159,-6.0,0.6495,0.9658,0.0004425,LONG,NONE,2026-03-13T00:00:00+00:00
PYTHUSDT,PYTH,4H,Base TV,365,441,4,50.0,1.0607,-11.3208,-0.1674,0.9369,0.0485,SHORT,NONE,2026-03-13T00:00:00+00:00
JOEUSDT,JOE,4H,Base TV,365,441,6,50.0,0.8763,-14.7466,-3.1253,0.8914,0.0413,LONG,NONE,2026-03-13T00:00:00+00:00
XTZUSDT,XTZ,4H,Base TV,365,441,4,50.0,0.9669,-10.9114,-1.2486,0.8861,0.3681,SHORT,NONE,2026-03-13T00:00:00+00:00
ONTUSDT,ONT,4H,Base TV,365,441,2,50.0,1.011,-6.0,-0.2981,0.8425,0.04158,SHORT,NONE,2026-03-13T00:00:00+00:00
USUSDT,US,4H,Base TV,365,441,2,50.0,1.011,-6.0,-0.2981,0.8425,0.003878,LONG,NONE,2026-03-13T00:00:00+00:00
RLSUSDT,RLS,4H,Base TV,365,441,2,50.0,0.9252,-5.6604,-0.72,0.8173,0.00453,LONG,NONE,2026-03-13T00:00:00+00:00
1MBABYDOGEUSDT,1MBABYDOGE,4H,Base TV,365,441,5,40.0,1.1646,-16.3403,1.3267,0.7127,0.0004342,LONG,NONE,2026-03-13T00:00:00+00:00
AVAXUSDT,AVAX,4H,Base TV,365,441,3,33.3333,1.4761,-11.3208,3.9422,0.6519,9.849,LONG,NONE,2026-03-13T00:00:00+00:00
AUSDT,A,4H,Base TV,365,441,3,33.3333,1.4761,-11.3208,3.9422,0.6519,0.07788,SHORT,NONE,2026-03-13T00:00:00+00:00
ETHFIUSDT,ETHFI,4H,Base TV,365,441,3,33.3333,1.4761,-11.3208,3.9422,0.6519,0.5756,LONG,NONE,2026-03-13T00:00:00+00:00
ENSUSDT,ENS,4H,Base TV,365,441,3,33.3333,1.4761,-11.3208,3.9422,0.6519,6.125,SHORT,NONE,2026-03-13T00:00:00+00:00
ETHWUSDT,ETHW,4H,Base TV,365,441,3,33.3333,1.4761,-11.3208,3.9422,0.6519,0.2924,SHORT,NONE,2026-03-13T00:00:00+00:00
LDOUSDT,LDO,4H,Base TV,365,441,3,33.3333,1.4761,-11.3208,3.9422,0.6519,0.3043,SHORT,NONE,2026-03-13T00:00:00+00:00
WUSDT,W,4H,Base TV,365,441,3,33.3333,1.4761,-11.3208,3.9422,0.6519,0.01845,SHORT,NONE,2026-03-13T00:00:00+00:00
CELRUSDT,CELR,4H,Base TV,365,441,4,50.0,0.7342,-11.3208,-3.638,0.6485,0.00268,LONG,NONE,2026-03-13T00:00:00+00:00
ETCUSDT,ETC,4H,Base TV,365,441,5,60.0,0.4846,-11.3208,-6.2188,0.6421,8.387,SHORT,NONE,2026-03-13T00:00:00+00:00
SKLUSDT,SKL,4H,Base TV,365,441,3,33.3333,1.4343,-11.64,3.568,0.6161,0.00668,SHORT,NONE,2026-03-13T00:00:00+00:00
IOTAUSDT,IOTA,4H,Base TV,365,441,3,33.3333,1.2078,-11.3208,1.1681,0.5334,0.0641,SHORT,NONE,2026-03-13T00:00:00+00:00
NEIROCTOUSDT,NEIROCTO,4H,Base TV,365,441,3,33.3333,1.2078,-11.3208,1.1681,0.5334,7.45e-05,LONG,NONE,2026-03-13T00:00:00+00:00
RAYUSDT,RAY,4H,Base TV,365,441,3,33.3333,1.2078,-11.3208,1.1681,0.5334,0.6218,SHORT,NONE,2026-03-13T00:00:00+00:00
ORCAUSDT,ORCA,4H,Base TV,365,441,2,50.0,0.5557,-5.6604,-2.6927,0.4909,0.943,SHORT,NONE,2026-03-13T00:00:00+00:00
EIGENUSDT,EIGEN,4H,Base TV,365,441,3,33.3333,1.0587,-11.0004,-0.3338,0.4812,0.1906,SHORT,NONE,2026-03-13T00:00:00+00:00
ILVUSDT,ILV,4H,Base TV,365,441,2,50.0,0.4569,-4.1696,-2.344,0.4569,4.18,LONG,NONE,2026-03-13T00:00:00+00:00
ASTRUSDT,ASTR,4H,Base TV,365,441,4,50.0,0.5044,-11.3208,-6.0356,0.4456,0.00754,SHORT,NONE,2026-03-13T00:00:00+00:00
SKYUSDT,SKY,4H,Base TV,365,441,4,50.0,0.4897,-11.0004,-6.0051,0.4452,0.08246,LONG,NONE,2026-03-13T00:00:00+00:00
VELODROMEUSDT,VELODROME,4H,Base TV,365,441,4,25.0,1.087,-12.4522,-0.1227,0.4365,0.016613,SHORT,NONE,2026-03-13T00:00:00+00:00
GASUSDT,GAS,4H,Base TV,365,441,3,33.3333,0.5202,-6.0,-5.9416,0.4335,1.557,SHORT,NONE,2026-03-13T00:00:00+00:00
ENSOUSDT,ENSO,4H,Base TV,365,441,4,50.0,0.3366,-7.8059,-7.8059,0.4312,1.2716,SHORT,NONE,2026-03-13T00:00:00+00:00
GALAUSDT,GALA,4H,Base TV,365,441,3,33.3333,0.9612,-11.3208,-1.3817,0.4245,0.003395,SHORT,NONE,2026-03-13T00:00:00+00:00
ARKMUSDT,ARKM,4H,Base TV,365,441,3,33.3333,0.9222,-11.3208,-1.7849,0.4073,0.1125,LONG,NONE,2026-03-13T00:00:00+00:00
APTUSDT,APT,4H,Base TV,365,441,3,33.3333,0.4823,-6.141,-6.141,0.3927,0.9232,SHORT,NONE,2026-03-13T00:00:00+00:00
ONDOUSDT,ONDO,4H,Base TV,365,441,3,33.3333,0.8674,-11.3208,-2.3511,0.3831,0.2649,SHORT,NONE,2026-03-13T00:00:00+00:00
IMXUSDT,IMX,4H,Base TV,365,441,3,33.3333,0.8559,-11.3208,-2.4709,0.378,0.1687,LONG,NONE,2026-03-13T00:00:00+00:00
DOGSUSDT,DOGS,4H,Base TV,365,441,4,50.0,0.3992,-11.3208,-7.1461,0.3526,3.094e-05,LONG,NONE,2026-03-13T00:00:00+00:00
NOTUSDT,NOT,4H,Base TV,365,441,3,33.3333,0.7744,-11.3208,-3.313,0.342,0.0004175,LONG,NONE,2026-03-13T00:00:00+00:00
SAHARAUSDT,SAHARA,4H,Base TV,365,441,2,50.0,0.4066,-6.0,-3.7068,0.3388,0.02263,SHORT,NONE,2026-03-13T00:00:00+00:00
